FollowersCount,FriendsCount,ScreenName,Ratio,Points
75786,146,nyopenasu,519.082191780822,3.933916298630137e7
302608,2626,tsubuanfes,115.23533891850724,3.4871135439451635e7
121200,506,sleepfool,239.52569169960475,2.9030513833992094e7
81705,267,sugaaanuma,306.0112359550562,2.5002648033707865e7
98190,531,tomo_yuki2525,184.91525423728814,1.8156828813559324e7
58474,324,fumio9361,180.47530864197532,1.0553113197530864e7
41286,166,ha_na_ka_ra200,248.710843373494,1.0268275879518073e7
99257,2504,onoderasan001,39.63937699680511,3.934485642571885e6
32949,308,SYOUKI_SATO,106.97727272727273,3.524794159090909e6
41172,489,a_sa_me,84.1963190184049,3.4665308466257667e6
36542,418,ManukeNamake1,87.42105263157895,3.1945401052631577e6
201129,12924,itm_nlab,15.562441968430827,3.1300583906685235e6
17095,98,shibatanaokiii,174.4387755102041,2.9820308673469387e6
31212,327,sake_n,95.44954128440367,2.9791710825688075e6
37602,475,tshangen,79.1621052631579,2.976653482105263e6
72489,2040,yellowishrice,35.53382352941176,2.5758113338235295e6
86387,3053,quzilaxxx,28.295774647887324,2.444387084507042e6
69053,2189,inu_musuko,31.545454545454547,2.178308272727273e6
67168,2443,foktr,27.494064674580432,1.8467213360622185e6
22809,302,laqoo_asakist,75.52649006622516,1.7226837119205298e6
20740,297,sekkosato,69.83164983164983,1.4483084175084175e6
2336,4,redbind92,584.0,1.364224e6
35169,945,bushi218,37.215873015873015,1.3088450380952382e6
40963,1296,webmanga_moyach,31.607253086419753,1.2947279081790124e6
28215,854,tentijin11,33.03864168618267,932185.2751756441
7046,65,tntn_tey,108.4,763786.4
15405,311,msmtnrk,49.533762057877816,763067.6045016077
23428,869,DerekJeker,26.959723820483315,631612.409666283
11272,220,Pacashelter,51.236363636363635,577536.2909090909
13070,312,sugami_,41.89102564102564,547515.7051282051
162512,49100,kumintyo7gmailc,3.3098167006109978,537884.9316496945
15414,460,DVtaiyou,33.50869565217391,516503.0347826087
53581,5747,nukosama,9.323299112580477,499551.68975117453
18097,674,rourensiumu,26.85014836795252,485907.1350148368
10532,266,kohsaka_kotomi,39.59398496240601,417003.84962406015
14357,507,goodkakeru,28.317554240631164,406555.12623274163
18910,889,DrMagicianEARL,21.271091113610797,402236.3329583802
33096,2816,bobobo_boi,11.752840909090908,388972.0227272727
13058,445,natsumemori,29.343820224719103,383171.60449438205
24410,1582,hagukoutaross,15.429835651074589,376642.2882427307
115684,38705,Vanila_Ice_Ice,2.988864487792275,345763.7994057615
14360,608,miteruyatsu,23.61842105263158,339160.5263157895
7002,147,UNAGI_manga,47.63265306122449,333523.8367346939
45535,6535,kentaro666,6.9678653404743685,317281.7482785004
13263,556,kotorimedoa,23.85431654676259,316379.8003597122
5711,121,makusu_210,47.19834710743802,269549.7603305785
12892,636,Nino_Kazuya,20.270440251572328,261326.51572327045
17159,1378,BlueHat_t,12.452104499274311,213665.6611030479
13850,963,ichigain880,14.38213914849429,199192.6272066459
9426,495,eroki_trick,19.042424242424243,179493.8909090909
18631,1999,mogamicoji,9.32016008004002,173643.90245122561
13850,1106,gabyo_nn,12.52260397830018,173438.0650994575
11813,820,comic_mcclane,14.40609756097561,170179.2304878049
10410,709,nioshi_noai,14.68265162200282,152846.40338504937
6170,255,mochizukimochi0,24.19607843137255,149289.80392156861
5798,227,kurodajikko,25.54185022026432,148091.64757709252
12982,1227,afro_da_afro,10.580277098614507,137353.15729421354
171559,218470,yatorie,0.7852748661143406,134720.97075571018
2353,47,hajime_tetsu,50.06382978723404,117800.1914893617
8070,580,cemonnl,13.913793103448276,112284.31034482758
4662,224,NI_E_RI_KA,20.8125,97027.875
18508,3552,hazukashinagara,5.210585585585585,96437.51801801802
8359,735,ruru_ie,11.372789115646258,95065.14421768708
1341,19,puchimei_twi,70.57894736842105,94646.36842105263
19699,4161,syokora_pad,4.734198509973564,93258.97644796924
16240,2920,oyamabokuti,5.561643835616438,90321.09589041096
3988,188,nanikawakaranga,21.21276595744681,84596.51063829787
8836,955,hanaharafumiki,9.252356020942408,81753.81780104712
14219,2488,sankakuyama,5.715032154340836,81262.04220257235
4067,221,minapidayo,18.402714932126695,74843.84162895927
6345,554,shima_16bit,11.453068592057761,72669.7202166065
3748,199,Marufukusatoshi,18.834170854271356,70590.47236180905
26148,10911,white_stew,2.396480615892219,62663.17514434974
5472,492,yamamorinokuso,11.121951219512194,60859.31707317073
32237,17555,doom_k,1.8363429222443748,59198.18678439191
4262,319,Bu3124No,13.360501567398119,56942.45768025079
3973,281,wataru_watarase,14.138790035587188,56173.4128113879
38217,26352,explosionpsycho,1.4502504553734061,55424.221653005465
35455,25020,illckr,1.417066346922462,50242.08733013589
1958,77,banifomu,25.428571428571427,49789.142857142855
6519,862,Myuuk0,7.562645011600928,49300.88283062645
3272,218,ex55865450,15.009174311926605,49110.01834862385
2104,94,zentore,22.382978723404257,47093.78723404255
3538,279,yogurt_G,12.68100358422939,44865.390681003584
4666,495,sotaol,9.426262626262627,43982.941414141416
8788,1791,nicetack0517,4.906756002233389,43120.57174762702
34723,29439,akihikokondosk,1.1794897924521892,40955.42406331737
2303,137,nuko_san,16.81021897810219,38713.93430656935
6412,1147,ryusei520,5.590235396687009,35844.589363557105
10554,3149,mizunana_T,3.3515401714830104,35372.154969831696
3263,302,imijikumo36,10.804635761589404,35255.52649006622
5152,792,nikuq_owata,6.505050505050505,33514.020202020205
6953,1444,ribenseijin,4.815096952908587,33479.369113573404
3972,474,neruko2015,8.379746835443038,33284.354430379746
2895,272,nitarinDX,10.643382352941176,30812.591911764706
4503,692,warabi_mochin,6.507225433526012,29302.03612716763
4936,897,u1__,5.5027870680044595,27161.75696767001
3656,496,hyon_noyh,7.370967741935484,26948.25806451613
5076,961,kyuukanba,5.281997918834548,26811.421436004162
4223,686,YOTUGINOKO,6.15597667638484,25996.68950437318
2787,301,kyo_loli,9.259136212624584,25805.212624584718
2413,229,GABUNOMI9,10.537117903930131,25426.065502183406
3953,659,risapaso821,5.998482549317147,23712.001517450684
12386,6702,TKP_0,1.8481050432706654,22890.629065950463
1782,142,udonsusuro,12.549295774647888,22362.845070422536
2574,306,dongurimasako1,8.411764705882353,21651.882352941175
5674,1494,hukashiginayuta,3.7978580990629185,21549.046854082997
1467,100,0119Muu,14.67,21520.89
3035,432,stock115s,7.025462962962963,21322.28009259259
6831,2215,netto_hwt,3.083972911963883,21066.61896162528
4167,834,huurinkazanpika,4.996402877697841,20820.010791366905
4521,997,tocksack,4.534603811434303,20500.943831494482
2220,241,samukutemo,9.21161825726141,20449.792531120333
9614,4747,DESU_RABBITS190,2.0252791236570467,19471.033494838844
10766,6082,impulse_takuann,1.7701414008549818,19057.342321604734
4411,1025,10_henn,4.303414634146342,18982.36195121951
12495,8486,swespo,1.4724251708696676,18397.952510016497
6116,2059,kanriinu,2.9703739679456045,18166.807187955317
19504,21432,Gattsu_Seijin,0.9100410600970511,17749.440836132886
1216,86,chaosseed25,14.13953488372093,17193.674418604653
5143,1550,morii,3.318064516129032,17064.80580645161
3525,736,assialiholic,4.789402173913044,16882.64266304348
614,23,__SHINOBI__,26.695652173913043,16391.130434782608
6533,2622,durian_ochi,2.4916094584286803,16277.684591914569
9038,5123,Yoshikore,1.7642006636736287,15944.845598282256
2013,260,mk7911,7.742307692307692,15585.265384615384
1860,225,mora_nobi,8.266666666666667,15376.0
13759,13290,OkadaRoku,1.0352896914973664,14244.550865312265
1229,107,kaporu_,11.485981308411215,14116.271028037383
3704,974,nobkoba,3.802874743326489,14085.848049281314
3189,725,yoshiomasao,4.398620689655172,14027.201379310345
1874,251,konconyle,7.46613545816733,13991.537848605578
12543,11458,tamaco_prpr,1.0946936638156746,13730.742625240007
4493,1567,TRIANGLE_MUPPET,2.8672622846202938,12882.609444798978
13904,15060,927kun,0.9232403718459495,12836.734130146082
3136,772,SagafroKichigai,4.062176165803109,12738.984455958549
1743,253,dawkun,6.8893280632411065,12008.09881422925
11598,11238,zenkobare,1.0320341697810997,11969.532301121197
1108,104,kiwi_rice,10.653846153846153,11804.461538461539
4205,1499,yoru_ichinichi,2.8052034689793195,11795.880587058038
6790,3922,anmitiyon,1.7312595614482407,11755.252422233554
8036,5585,mitieru,1.438854073410922,11562.63133393017
1703,251,ripple2ouma,6.7848605577689245,11554.617529880477
6773,3976,idenma,1.7034708249496981,11537.607897384305
11605,11859,usagipanchi3,0.9785816679315288,11356.440256345391
2426,529,morikyabetsu,4.586011342155009,11125.663516068053
2054,408,ahotrol,5.034313725490196,10340.480392156862
5647,3198,Mukashi_kazami,1.765791119449656,9971.422451532208
10582,11543,kibaoz,0.916746079875249,9701.007017239886
1963,415,sakastudio_,4.7301204819277105,9285.226506024097
9322,9419,tetora_CuSith,0.9897016668436139,9225.99893831617
8373,7707,S_NAOKAZU_2009,1.0864149474503697,9096.552355001946
6339,4449,V_Melville,1.4248145650708024,9031.899527983816
8631,8262,aki0107_inica,1.0446623093681917,9016.480392156862
3022,1015,ymd95,2.9773399014778326,8997.52118226601
2768,861,hiroyukanai,3.2148664343786293,8898.750290360047
2266,579,mugikura_kun,3.913644214162349,8868.317789291883
2598,769,IzumiLov3,3.3784135240572173,8777.11833550065
2064,492,akmd_kuma,4.195121951219512,8658.731707317073
3656,1672,puyapuya_hiro,2.186602870813397,7994.2200956937795
3489,1539,bttf0709,2.267056530214425,7909.7602339181285
2580,853,mono_moosu,3.024618991793669,7803.516998827667
2213,633,komiyamao,3.4960505529225907,7736.759873617693
7402,7245,ohagi333,1.0216701173222913,7562.402208419599
1478,290,heeloftoe2773,5.096551724137931,7532.703448275862
1090,162,Rentaltalker,6.728395061728395,7333.950617283951
8001,8785,CRML_P,0.9107569721115538,7286.966533864542
6044,5110,hsjoihs,1.1827788649706459,7148.715459882583
2410,815,tsukatan,2.957055214723926,7126.503067484663
2105,630,k18_kaiba,3.3412698412698414,7033.373015873016
7583,8204,RAM_irohasu,0.924305216967333,7009.0064602632865
1375,273,richaball,5.0366300366300365,6925.3663003663005
1392,296,norishirochan,4.702702702702703,6546.1621621621625
2796,1208,y_raida,2.314569536423841,6471.536423841059
5835,5289,Mochigai,1.1032331253545093,6437.365286443562
6913,7566,yuch4n_,0.9136928363732487,6316.358577848268
2268,838,peroriver,2.7064439140811456,6138.214797136038
1695,481,kibayashi_fanta,3.5239085239085237,5973.024948024948
1307,286,take0952,4.56993006993007,5972.898601398601
2085,746,Alientype710,2.7949061662198393,5827.3793565683645
6154,6635,youkihi,0.9275056518462698,5707.8697814619445
1005,178,f____ryo,5.646067415730337,5674.297752808989
2650,1267,otonibinkan,2.091554853985793,5542.620363062352
1305,320,cheeriechan,4.078125,5321.953125
2286,1012,chimeido_yusuke,2.258893280632411,5163.830039525692
5086,5048,nice_seal,1.007527733755943,5124.286053882726
620,76,yuzumikandesu,8.157894736842104,5057.894736842105
1105,245,inuidaiji2,4.510204081632653,4983.775510204082
646,85,Szyo_A,7.6,4909.6
3385,2342,kyubuns,1.4453458582408198,4892.495730145175
1331,366,Miku_Ponchan,3.6366120218579234,4840.330601092896
5134,5580,_6v_,0.9200716845878136,4723.648028673835
3789,3071,asma,1.2338000651253664,4674.868446760013
1788,688,surabaZendan,2.5988372093023258,4646.720930232558
1353,395,RyuNagayama,3.4253164556962026,4634.453164556962
3775,3106,inumissile51,1.2153895685769478,4588.095621377978
4715,4906,donor69,0.9610680799021606,4531.435996738687
1266,354,oboega_kitchen,3.5762711864406778,4527.559322033899
4858,5300,Rima_tk,0.9166037735849056,4452.861132075472
4499,4554,kyojunet,0.9879227053140096,4444.66425120773
1668,628,odoriko_noise,2.656050955414013,4430.292993630574
2909,1923,takaiyuito,1.5127405096203848,4400.562142485699
2186,1088,posi0202,2.0091911764705883,4392.091911764706
4130,3913,hanasakipottun,1.0554561717352415,4359.033989266547
1912,853,J_tomoyuki,2.241500586166471,4285.7491207502935
1436,494,tamazonnnoamara,2.9068825910931175,4174.283400809717
3786,3488,yasagi,1.0854357798165137,4109.459862385321
4415,4868,Yamashita238,0.9069433032046015,4004.1546836483153
900,204,aburi_roll_cake,4.411764705882353,3970.5882352941176
1430,534,Nyfel_,2.6779026217228465,3829.4007490636704
1010,268,ShintaroPatani,3.7686567164179103,3806.3432835820895
4062,4377,naitoobunaitu42,0.9280328992460589,3769.6696367374916
2029,1100,5eYtp,1.8445454545454545,3742.5827272727274
2805,2131,to_fulolo,1.316283435007039,3692.1750351947444
1284,448,sake_ub,2.8660714285714284,3680.035714285714
1413,544,mkt_sin,2.5974264705882355,3670.1636029411766
3778,3936,wildfirst,0.9598577235772358,3626.342479674797
1345,500,solitaire_jand,2.69,3618.05
1791,891,araneko666,2.01010101010101,3600.090909090909
2185,1369,RattenGiken,1.596055514974434,3487.381300219138
3651,3826,scholar_AGH,0.954260324098275,3484.0044432828017
3319,3211,FutagawaKasara,1.0336343818125195,3430.632513235752
3449,3549,Tokosaka_PR,0.9718230487461257,3351.817695125387
2291,1572,mosyasuke2153,1.4573791348600509,3338.8555979643766
3346,3392,oyabaka247,0.9864386792452831,3300.623820754717
1818,1004,cryptomamiya,1.8107569721115537,3291.9561752988047
1084,364,mymy_u_tan,2.978021978021978,3228.1758241758243
3214,3211,hikiniku11029,1.0009342883836811,3217.002802865151
2768,2436,yamotomahiro,1.1362889983579638,3145.247947454844
2842,2594,Yamashitamannga,1.0956052428681573,3113.710100231303
3274,3577,onokatio_,0.9152921442549623,2996.666480290746
2004,1342,etoxu,1.4932935916542474,2992.560357675112
1893,1219,sisofuuma,1.5529122231337162,2939.6628383921247
1025,358,growbl1ght,2.863128491620112,2934.7067039106146
691,163,mntimcczgrtn,4.2392638036809815,2929.3312883435583
2116,1544,ryudora1,1.3704663212435233,2899.9067357512954
1025,365,rensyuryu,2.808219178082192,2878.4246575342468
811,238,n_surumeika,3.407563025210084,2763.5336134453783
3668,4883,onlyonlybocci,0.7511775547818964,2755.319270939996
3122,3542,Taskey110,0.8814229249011858,2751.802371541502
266,26,yamadafuhito,10.23076923076923,2721.3846153846152
1983,1450,ueharakeita,1.3675862068965516,2711.923448275862
2420,2164,Jin_Uehara,1.1182994454713493,2706.2846580406654
2657,2642,greeeen_sango,1.0056775170325511,2672.0851627554885
3188,3912,Fuyuchan024,0.8149284253578732,2597.9918200408997
2971,3407,sukekyo,0.8720281772820664,2590.7957147050192
2305,2057,cocolu_ts,1.120563928050559,2582.899854156539
1055,431,tantei_A,2.4477958236658934,2582.4245939675175
1151,516,Bob_Sotomayor,2.2306201550387597,2567.4437984496126
1218,598,shibirekurage,2.036789297658863,2480.809364548495
1490,896,simasuzu,1.6629464285714286,2477.7901785714284
2385,2302,Leolove1213k,1.0360556038227628,2470.9926151172895
2251,2060,hama1200,1.0927184466019417,2459.7092233009707
2324,2196,nishikikn,1.058287795992714,2459.4608378870676
862,311,cora11111,2.7717041800643085,2389.209003215434
2105,1865,YukiguniUchusen,1.128686327077748,2375.8847184986594
3288,4559,tamagawa_now,0.7212107918403159,2371.3410835709587
2152,1964,shobo_net,1.0957230142566192,2357.9959266802443
3429,5001,bunkadou_bp,0.6856628674265147,2351.137972405519
2206,2074,denkaisitwo,1.0636451301832208,2346.401157184185
1383,816,IkuyoOhtani,1.6948529411764706,2343.981617647059
